"","X","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust","FundingGoalAdjusted","id","num_rows"
"548",542,"https://sportfunder.com/crenshawramsfutureleague/27735",6,"teams",50,"fail",136,9.859,4,0,7,8,1,10,5000,378,716
"549",283,"https://sportfunder.com/wpuchin/27815",4,"teams",225,"fail",96,6.388,7,2,5,13,3,12,1500,194,716
"550",1098,"https://sportfunder.com/bradlanglois/172",0,"teams",0,"fail",41,5.396,1,0,0,4,0,1,1500,774,716
"551",826,"https://sportfunder.com/brendanyakura/3393",15,"teams",561,"fail",187,7.273,7,5,11,16,8,9,1300,586,716
"552",1046,"https://sportfunder.com/saidnajafzade/29615",0,"teams",0,"fail",49,4.069,2,0,0,3,0,2,500,744,716
"553",1021,"https://sportfunder.com/na/30947",0,"teams",0,"fail",90,6.034,5,1,3,9,1,7,1000,727,716
"554",211,"https://sportfunder.com/betancourt/28064",4,"teams",500,"fail",236,17.088,15,2,4,25,1,26,10000,146,716
"555",1011,"https://sportfunder.com/newsportstechnology/28024",0,"teams",0,"fail",145,25.473,4,0,1,10,1,26,1e+06,722,716
"556",203,"https://sportfunder.com/maximustufugafale/31144",0,"teams",0,"fail",220,20.062,6,0,9,15,1,13,3000,142,716
"557",5,"https://sportfunder.com/sambofederationofarmenia/28323",0,"teams",0,"fail",117,13.553,4,0,2,8,1,9,6500,4,716
"558",1110,"https://sportfunder.com/fcleyendafootballclub/27576",0,"teams",0,"fail",63,10.322,5,0,0,6,1,3,3000,781,716
"559",775,"https://sportfunder.com/jekopemaiono/27205",0,"teams",0,"fail",69,2.16,1,0,0,3,0,4,1600,546,716
"560",23,"https://sportfunder.com/dawsonblues/13541",30,"teams",425,"fail",218,10.322,4,1,1,10,0,21,4000,17,716
"561",1017,"https://sportfunder.com/justinmceachern/5778",18,"teams",531,"fail",62,3.165,6,0,0,7,0,9,750,724,716
"562",516,"https://sportfunder.com/upeepz/6874",6,"teams",0,"fail",140,5.233,5,1,1,15,2,6,17000,359,716
"563",505,"https://sportfunder.com/jamesmolorane/31175",0,"teams",0,"fail",59,4.415,4,0,0,7,1,4,993.5,350,716
"564",20,"https://sportfunder.com/morgyncook/40367",15,"teams",835,"fail",69,9.732,3,0,2,9,0,3,3000,16,716
"565",699,"https://sportfunder.com/struck2022/27895",0,"teams",190,"fail",128,14.701,4,0,3,9,2,11,3000,494,716
"566",70,"https://sportfunder.com/urbanahighschoolcheerleading/29854",0,"teams",0,"fail",123,21.504,3,0,2,7,0,14,4000,45,716
"567",99,"https://sportfunder.com/philiposei/11110",10,"teams",420,"fail",328,41.53,8,1,6,18,1,17,8000,67,716
"568",294,"https://sportfunder.com/northflaglerwildcats/31173",2,"teams",5,"fail",89,8.059,3,0,4,5,0,6,4000,203,716
"569",692,"https://sportfunder.com/gemmaf/29813",0,"teams",0,"fail",254,18.424,12,5,2,30,4,13,4967.5,489,716
"570",808,"https://sportfunder.com/antoniochaparromontiel/29552",0,"teams",0,"fail",90,11.214,3,0,1,9,2,4,400,573,716
"571",704,"https://sportfunder.com/friscofurylacrosse/28618",4,"teams",1485,"fail",138,11.827,7,0,3,12,1,13,15000,498,716
"572",614,"https://sportfunder.com/titansrugby/28274",0,"teams",0,"fail",168,14.697,4,0,9,10,0,13,3600,430,716
"573",925,"https://sportfunder.com/josh/31560",6,"teams",210,"fail",90,10.188,6,0,0,8,0,9,1000,659,716
"574",994,"https://sportfunder.com/jaymay/40369",11,"teams",570,"fail",174,14.207,10,1,1,14,3,13,8000,711,716
"575",466,"https://sportfunder.com/mikaisthebestallthetime/25891",0,"teams",0,"fail",128,9.146,8,0,0,15,0,13,10000,316,716
"576",289,"https://sportfunder.com/kickconnection/1329",2,"teams",10,"fail",92,11.977,3,0,3,9,1,4,1000,200,716
"577",562,"https://sportfunder.com/ritalazar/23881",5,"teams",500,"fail",76,5.8,2,0,0,4,0,3,500,394,716
"578",528,"https://sportfunder.com/venezuelaworldtoeikankarate/24003",0,"teams",0,"fail",162,14.23,5,1,5,7,2,17,10800,367,716
"579",271,"https://sportfunder.com/ivamam/30977",0,"teams",0,"fail",172,22.976,16,2,3,18,3,12,10000,186,716
"580",630,"https://sportfunder.com/danbenin/26070",0,"teams",0,"fail",82,4.954,4,0,2,4,0,7,20000,442,716
"581",295,"https://sportfunder.com/americansamoawomensbeachhandballteam/30896",0,"teams",0,"fail",142,13.044,8,0,3,8,1,14,30000,204,716
"582",330,"https://sportfunder.com/malionsportsclub/27520",0,"teams",0,"fail",98,10.616,6,1,0,10,0,8,2980.5,233,716
"583",937,"https://sportfunder.com/lorentinapasaribu/31172",9,"teams",0,"fail",51,4.415,3,0,0,4,0,3,1000,666,716
"584",924,"https://sportfunder.com/josh/31170",17,"teams",650,"fail",217,18.415,6,0,0,15,0,13,1000,658,716
"585",544,"https://sportfunder.com/londonsynchrouniversity/23070",30,"teams",1085,"fail",127,5.688,6,1,2,13,3,15,3000,380,716
"586",1027,"https://sportfunder.com/azores-kartingchampionship/27814",0,"teams",0,"fail",65,4.214,2,0,0,5,0,4,1987,733,716
"587",603,"https://sportfunder.com/morganendean/3413",11,"teams",256,"fail",98,9.814,5,0,1,6,1,7,1500,420,716
"588",501,"https://sportfunder.com/mbjjf/30648",2,"teams",10,"fail",186,19.896,12,0,0,20,0,19,1500,346,716
"589",951,"https://sportfunder.com/andrea/28137",0,"teams",0,"fail",239,20.732,8,2,4,15,4,15,14000,675,716
"590",798,"https://sportfunder.com/denisondynamitesoccer/40108",24,"teams",920,"fail",240,21.222,9,0,4,16,1,21,1500,565,716
"591",10,"https://sportfunder.com/jovontesuber/31804",9,"teams",258,"fail",65,5.315,3,0,0,6,0,4,500,6,716
"592",3,"https://sportfunder.com/danielvassalladams/25809",6,"teams",99.35,"fail",219,17.613,5,3,4,9,1,10,993.5,2,716
"593",209,"https://sportfunder.com/pridecheer/30967",0,"teams",0,"fail",76,10.721,4,0,0,8,0,7,672,144,716
"594",609,"https://sportfunder.com/jean-marcmalkowski/30916",0,"teams",0,"fail",137,22.448,8,0,5,13,2,10,3000,425,716
"595",79,"https://sportfunder.com/seanstarr/21215",24,"teams",1575.426,"fail",137,7.091,5,0,2,11,0,11,2266.8,52,716
"596",763,"https://sportfunder.com/jordanlandry/4242",2,"teams",51,"fail",143,24.859,9,0,3,15,2,9,1500,538,716
"597",381,"https://sportfunder.com/stactennis/29105",0,"teams",0,"fail",104,8.891,3,1,2,5,1,12,3200,269,716
"598",214,"https://sportfunder.com/tomgandy/30879",24,"teams",2346.138,"fail",161,11.339,5,1,3,13,2,7,11334,149,716
"599",508,"https://sportfunder.com/brandon/4762",5,"teams",131,"fail",183,17.312,20,1,2,26,2,25,1100,352,716
"600",761,"https://sportfunder.com/girlssportyeg/31521",44,"athletes",1115,"success",332,29.457,28,2,12,66,4,40,500,537,1
"601",921,"https://sportfunder.com/brooklinehighschoolrugby/40255",78,"teams",6390,"success",79,7.843,1,0,1,3,0,5,6000,655,43
"602",257,"https://sportfunder.com/schuylkillymcagymnastics/40136",16,"teams",5384.5,"success",130,11.333,5,0,3,14,1,11,5000,177,43
"603",348,"https://sportfunder.com/emmaweiss_/39453",8,"teams",430,"success",49,4.415,6,0,0,10,0,6,200,247,43
"604",194,"https://sportfunder.com/cvassassins_/40382",122,"teams",5050,"success",75,9.114,1,3,3,5,3,1,5000,137,43
"605",655,"https://sportfunder.com/khloedefiesta/40391",46,"teams",3206.05,"success",90,9.603,10,0,0,14,3,5,2500,463,43
"606",890,"https://sportfunder.com/adamthomson/19821",12,"teams",1510,"success",311,17.576,9,2,2,23,3,21,1400,633,43
"607",750,"https://sportfunder.com/spectrumathletics/31693",48,"teams",3610,"success",89,13.437,5,1,2,7,2,10,3000,530,43
"608",299,"https://sportfunder.com/ottawaeliteu17team/23455",38,"teams",5627,"success",401,30.529,7,1,12,19,4,18,5000,208,43
"609",1059,"https://sportfunder.com/mcgilltennis/52",132,"teams",3020,"success",211,17.524,8,1,3,15,2,27,3000,750,43
"610",652,"https://sportfunder.com/bbcgrengewaldhueschtert/31118",80,"teams",3477.25,"success",109,13.336,5,0,2,9,1,10,2980.5,461,43
"611",795,"https://sportfunder.com/tahnawilfley/28292",22,"teams",2564,"success",97,9.939,6,0,4,10,4,4,2500,563,43
"612",891,"https://sportfunder.com/teammileswka/25062",13,"teams",1235,"success",210,11.105,8,2,12,16,6,16,1157,634,43
"613",416,"https://sportfunder.com/mcgillcheerleading/478",164,"teams",3510,"success",111,2.611,4,0,1,9,0,17,3000,293,43
