"","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust"
"171","https://sportfunder.com/sorotirangersrugbyclub/31893",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"172","https://sportfunder.com/taylorhendricks/27742",0,"teams",0,"fail",86,9.782,7,0,1,9,2,10
"173","https://sportfunder.com/baranofbruinswrestlingclub/31370",0,"teams",1545,"fail",1,0,NA,NA,NA,NA,NA,NA
"174","https://sportfunder.com/gselvakumar/31113",0,"teams",0,"fail",50,4.415,3,0,0,4,0,3
"175","https://sportfunder.com/sfstealthlax/31182",2,"teams",25,"fail",152,11.407,5,6,6,8,1,11
"176","https://sportfunder.com/vincerezeng/27548",2,"teams",20,"fail",77,7.198,1,0,0,3,1,1
"177","https://sportfunder.com/shinnstonsoccer/27201",18,"teams",735,"fail",140,17.3,9,0,0,14,0,10
"178","https://sportfunder.com/felixlussier-roy/25360",42,"teams",911,"fail",112,0,NA,NA,NA,NA,NA,NA
"179","https://sportfunder.com/vertorsoccermasculin/2034",14,"teams",30,"fail",110,0,NA,NA,NA,NA,NA,NA
"180","https://sportfunder.com/nicholeshaferherring/27726",0,"teams",0,"fail",73,9.577,3,0,3,7,2,3
"181","https://sportfunder.com/matteosubet/27773",4,"teams",149.025,"fail",189,18.052,2,1,2,5,1,5
"182","https://sportfunder.com/krisfund/28205",0,"teams",0,"fail",89,11.214,3,0,1,9,2,4
"183","https://sportfunder.com/cheekathletics/29154",2,"teams",50,"fail",119,8.059,4,0,3,7,1,7
"184","https://sportfunder.com/marioudvardi/27480",0,"teams",0,"fail",83,7.668,5,0,2,7,2,5
"185","https://sportfunder.com/teamhelvetiabuhurt/31909",0,"athletes",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"186","https://sportfunder.com/stephaniedyck/1293",6,"teams",5,"fail",122,12.422,3,0,3,9,1,12
"187","https://sportfunder.com/sarniaolympictaekwondo/24272",0,"teams",0,"fail",181,17.685,7,0,1,15,0,18
"188","https://sportfunder.com/ianmorgan/28315",5,"teams",240,"fail",131,8.277,2,2,2,7,0,5
"189","https://sportfunder.com/leopardodelasnieves/28364",0,"teams",0,"fail",352,15.377,4,0,0,5,0,13
"190","https://sportfunder.com/lgdm/25762",0,"teams",0,"fail",198,17.287,11,0,3,18,3,12
"191","https://sportfunder.com/sophie/27941",4,"teams",405,"fail",44,5.107,1,0,0,4,0,4
"192","https://sportfunder.com/elsot-acmteam/25533",0,"teams",0,"fail",132,11.842,4,0,3,8,1,10
"193","https://sportfunder.com/westsanfordeaglesfootballandcheerassociation/39468",2,"teams",25,"fail",1,0,NA,NA,NA,NA,NA,NA
"194","https://sportfunder.com/cvassassins_/40382",122,"teams",5050,"success",75,9.114,1,3,3,5,3,1
"195","https://sportfunder.com/luzgrandeapb/29511",382,"teams",10812.5,"success",548,6.581,NA,NA,NA,NA,NA,NA
"196","https://sportfunder.com/afcsouthbay/40385",6,"teams",150,"fail",141,11.372,8,0,4,10,1,11
"197","https://sportfunder.com/nathanlee/40310",0,"",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"198","https://sportfunder.com/nathanlee/40485",NA,"",0,"fail",1,0,NA,NA,NA,NA,NA,NA
