,CampaignName,CampaignUrl,CampaignPicUrl,ProfilePicUrl,SportName,SportUrl,ShortDescription,Location,DivBox1Val,DivBox1Name,DivBox2Val,DivBox2Name,DivBox3Val,DivBox3Name,DivBox4Val,DivBox4Name
31,MCGILL CHEERLEADING,https://sportfunder.com/https://sportfunder.com/mcgillcheerleading/478,"background-image: url(""/images/mcgillcheerleading.jpg"");","background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/media/champions/users/1326.jpg"");",Cheerleading,https://sportfunder.com/https://sportfunder.com/teams/cheerleading,Help us go for gold at PCA open cheerleading...,"Montreal, Quebec, Canada","$3,510
Raised",Raised,"117%
Funded",Funded,,,"164
Supporters",Supporters
32,BBC GRENGEWALD HUESCHTERT,https://sportfunder.com/https://sportfunder.com/bbcgrengewaldhueschtert/31118,"background-image: url(""https://files.makeachamp.com/f9af74c9-58ab-43c9-9f7d-b6890b504c07/-/crop/2171x1628/57,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/343849ca-c8b7-4f5e-a7a5-40f68558127f/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Help us to get through the lockdown.,"Hostert, Luxembourg District, Luxembourg","€3,500
Raised",Raised,"117%
Funded",Funded,,,"80
Supporters",Supporters
33,JON POTEET,https://sportfunder.com/https://sportfunder.com/jonpoteet/27573,"background-image: url(""https://files.makeachamp.com/42ca41a6-5504-4f9b-af00-29b7517373c7/-/crop/485x364/21,0/-/preview/"");","background-image: url(""https://files.makeachamp.com/7cc23540-0861-409d-bbeb-923dfa59d112/-/crop/302x302/42,0/-/preview/"");",Baseball,https://sportfunder.com/https://sportfunder.com/teams/baseball,Ensuring that a kids talent is not dictated by...,"Olathe, Kansas, United States","$1,763
Raised",Raised,"114%
Funded",Funded,,,"94
Supporters",Supporters
34,OTTAWA ELITE U17 TEAM,https://sportfunder.com/https://sportfunder.com/ottawaeliteu17team/23455,"background-image: url(""https://files.makeachamp.com/387f136f-fad1-44eb-9154-6915e7fb76a3/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/988241df-f814-4d09-b6f6-bb9af0c04a18/-/crop/669x669/165,5/-/preview/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Let's Showcase Ottawa's Elite Basketball Players,"Ottawa, Ontario, CA","$5,627
Raised",Raised,"113%
Funded",Funded,,,"38
Supporters",Supporters
35,ADAM THOMSON,https://sportfunder.com/https://sportfunder.com/adamthomson/19821,"background-image: url(""//files.makeachamp.com/6aba111b-0e60-4da2-99d8-2f31df6439d2/-/crop/796x1080/0,0/-/preview/-/resize/700/"");","background-image: url(""//files.makeachamp.com/ac816602-8580-4a8c-8934-4f6445cb8cee/-/crop/554x924/370,510/-/preview/-/resize/400/"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Throwing for Gold at Judo Nationals!,"Calgary, Alberta, Canada","$1,510
Raised",Raised,"108%
Funded",Funded,,,"12
Supporters",Supporters
36,LUZ GRANDE,https://sportfunder.com/https://sportfunder.com/luzgrandeapb/29511,"background-image: url(""https://files.makeachamp.com/d01352c0-70f6-4895-8932-6af55e42d765/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/094d4e47-7ea6-4c3c-8a1c-b952a4e644ae/-/resize/400/"");",Surfing,https://sportfunder.com/https://sportfunder.com/teams/surfing,Luz Grande necesita tu ayuda para lograr que...,"San Juan, San Juan, Puerto Rico","$10,812.50
Raised",Raised,"108%
Funded",Funded,,,"382
Supporters",Supporters
37,TEAM MILES WKA,https://sportfunder.com/https://sportfunder.com/teammileswka/25062,"background-image: url(""https://files.makeachamp.com/f5eaa73d-7618-43f6-9436-4d8f80db9a60/-/crop/960x720/0,184/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/5f2a58d2-b7c0-4f84-8aa1-d5acfa749160/-/crop/6000x5985/0,229/-/preview/-/resize/400/"");",Muay Thai,https://sportfunder.com/https://sportfunder.com/teams/muay-thai,Team Miles Muay Thai Takeover in the Big Apple!,"Calgary, Alberta, Canada","$1,235
Raised",Raised,"107%
Funded",Funded,,,"13
Supporters",Supporters
38,WESTSIDE TRACK CLUB,https://sportfunder.com/https://sportfunder.com/westsidetrackclub/31831,"background-image: url(""https://files.makeachamp.com/988e0a20-a432-40c7-a692-9a34b1aac792/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/0ad495fd-63b0-4b24-89b7-df4befb5cb00/-/crop/310x309/106,28/-/preview/-/resize/400/"");",Track And Field,https://sportfunder.com/https://sportfunder.com/teams/track-and-field,Please help us get to the 2021 AAU Junior...,"Louisville, Kentucky, United States","$32,347.74
Raised",Raised,"108%
Funded",Funded,,,"982
Supporters",Supporters
39,DINOS ROWING,https://sportfunder.com/https://sportfunder.com/dinosrowamillionmeters/30990,"background-image: url(""https://files.makeachamp.com/1fae197c-8bc2-466c-a3c0-c99acee94940/-/crop/2160x1620/0,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/00c3c6c2-92f4-4461-ad83-8fdf19dabe49/"");",Rowing,https://sportfunder.com/https://sportfunder.com/teams/rowing,Dinos Women Row One Million Meters!,"Calgary, Alberta, Canada","$5,290
Raised",Raised,"106%
Funded",Funded,,,"112
Supporters",Supporters
40,BROOKLINE HIGH SCHOOL RUGBY,https://sportfunder.com/https://sportfunder.com/brooklinehighschoolrugby/40255,"background-image: url(""https://files.makeachamp.com/1ad5eace-8043-4f8a-bc9f-325e4c5da487/-/crop/1001x750/330,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/2fb1ecbb-76d4-40ae-8fbe-138beef7d2a7/-/resize/400/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Help Support BHS Rugby!,"Brookline, Massachusetts, United States","$6,390
Raised",Raised,"107%
Funded",Funded,,,"78
Supporters",Supporters
41,WINNIPEG GENERAL STRIKE,https://sportfunder.com/https://sportfunder.com/winnipeggeneralstrike/2193,"background-image: url(""https://www.filepicker.io/api/file/EsjOEfRmRyy7zvJCjkS3/convert?h=600&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/5LdIerZbSXW9zsVOOQ2f/convert?w=400"");",Ultimate,https://sportfunder.com/https://sportfunder.com/teams/ultimate,help strike take on the world!,"Winnipeg, Manitoba, Canada","$5,142
Raised",Raised,"103%
Funded",Funded,,,"224
Supporters",Supporters
42,COME AND TRAIN,https://sportfunder.com/https://sportfunder.com/comeandtrain/22775,"background-image: url(""https://files.makeachamp.com/e9459ed8-f946-40f3-82e4-edb21ac0a2ac/-/crop/2000x525/0,52/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/5e1dfb8f-0a36-4caa-b5ab-a9a649046208/-/crop/1377x1376/312,0/-/preview/-/resize/400/"");",Cross Country Running,https://sportfunder.com/https://sportfunder.com/teams/cross-country-running,Aidons Nancy et notre gang à courir en Californie...,"Montréal, QC, Canada","$1,035
Raised",Raised,"104%
Funded",Funded,,,"94
Supporters",Supporters
43,TAHNA WILFLEY,https://sportfunder.com/https://sportfunder.com/tahnawilfley/28292,"background-image: url(""https://files.makeachamp.com/0aa5b160-5e06-4425-967f-240c4d2a3640/-/crop/1085x612/78,0/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/e4681d42-90e5-4948-9d5e-3edaaab305b4/-/resize/400/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Be part of our teams journey to Monaco!,"Denver, Colorado, United States","$2,564
Raised",Raised,"103%
Funded",Funded,,,"22
Supporters",Supporters
44,SPECTRUM VOLLEYBALL,https://sportfunder.com/https://sportfunder.com/spectrumvolleyball/31869,"background-image: url(""https://files.makeachamp.com/470e2f9c-bbe8-4d3d-9488-8d8a806ffd53/-/crop/960x624/0,0/-/preview/"");","background-image: url(""https://files.makeachamp.com/9e09c407-94fa-4712-90d5-c0fb8c68552f/-/resize/400/"");",Volleyball,https://sportfunder.com/https://sportfunder.com/teams/volleyball,Fundraiser for new uniforms!,"Elk River, Minnesota, United States","$4,189
Raised",Raised,"105%
Funded",Funded,,,"172
Supporters",Supporters
45,WANDERERS RFC,https://sportfunder.com/https://sportfunder.com/wanderersrfc/23577,"background-image: url(""https://files.makeachamp.com/65b578c5-23f8-46e1-992b-7a54c11c0fbd/-/crop/960x252/0,329/-/preview/"");","background-image: url(""https://files.makeachamp.com/a7c9f57f-6a49-4d6b-a6c5-618a3202299d/-/crop/170x170/15,0/-/preview/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Montreal Wanderers RFC Holiday Fundraiser,"Montreal, Québec, Canada","$920
Raised",Raised,"102%
Funded",Funded,,,"22
Supporters",Supporters
46,MCGILL TENNIS TEAM,https://sportfunder.com/https://sportfunder.com/mcgilltennis/52,"background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/media/champions/users/369.jpg"");","background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/media/champions/users/369.jpg"");",Tennis,https://sportfunder.com/https://sportfunder.com/teams/tennis,The McGill Tennis Team is fundraising to compete...,,"$3,020
Raised",Raised,"101%
Funded",Funded,,,"132
Supporters",Supporters
47,SHAÏM PARET,https://sportfunder.com/https://sportfunder.com/shaimparet/15945,"background-image: url(""https://files.makeachamp.com/386a3653-2633-4988-889b-21d5ff23fc47/-/crop/3797x2845/491,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/40c23dd7-a9dd-4bea-8418-5b69dd563fff/-/crop/767x768/123,0/-/preview/-/resize/400/"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Première participation à l'international!,"Montréal, Québec, Canada","$2,520
Raised",Raised,"101%
Funded",Funded,,,"73
Supporters",Supporters
48,CV ASSASSINS,https://sportfunder.com/https://sportfunder.com/cvassassins_/40382,"background-image: url(""https://files.makeachamp.com/05fbce52-6e13-4e68-93eb-9cd80ac8346e/"");","background-image: url(""https://files.makeachamp.com/fa515d92-da71-412d-9b9f-a8a5e9f35a12/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Be a part of our journey to Las Vegas,"San Leandro, California, United States","$5,050
Raised",Raised,"101%
Funded",Funded,,,"122
Supporters",Supporters
49,DAVID ASKWITH,https://sportfunder.com/https://sportfunder.com/davidaskwith/7878,"background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/images/Davis.png"");","background-image: url(""https://www.filepicker.io/api/file/VfCCtqcvR3KD1O1bFSv6/convert?w=400"");",Cross Country Skiing,https://sportfunder.com/https://sportfunder.com/teams/cross-country-skiing,"TeamUp ""KICK OFF"" Campaign",,"$750
Raised",Raised,"100%
Funded",Funded,,,"3
Supporters",Supporters
50,ALAYNA SCRAMSTAD,https://sportfunder.com/https://sportfunder.com/alaynascramstad/9038,"background-image: url(""https://www.filepicker.io/api/file/9Q6qTybhR4LzPFZ6GWAQ/convert?w=400"");","background-image: url(""https://www.filepicker.io/api/file/CWNV16N5RWa4akl7vPIR/convert?w=400"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,2014 National Rugby Championship,,"$1,250
Raised",Raised,"100%
Funded",Funded,,,"15
Supporters",Supporters
51,ALEX POINAR,https://sportfunder.com/https://sportfunder.com/alexpoinar/21501,"background-image: url(""//files.makeachamp.com/2901839f-5712-4a02-9c7e-3328f0143f21/-/resize/700/"");","background-image: url(""//files.makeachamp.com/635ef84d-7e31-4142-a9e6-fa86e7d4e53c/-/resize/400/"");",Brazilian Jiu-Jitsu,https://sportfunder.com/https://sportfunder.com/teams/brazilian-jiu-jitsu,Join this part of my journey to California for...,"Ohio, United States","$800
Raised",Raised,"100%
Funded",Funded,,,"44
Supporters",Supporters
52,RITA LAZAR,https://sportfunder.com/https://sportfunder.com/ritalazar/23881,"background-image: url(""https://files.makeachamp.com/49a674fc-c56e-46f1-b36a-347dd2ba1ccc/-/crop/1358x1356/0,2/-/preview/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/9a851106-7239-4d49-aaff-586bdc18c2ab/-/crop/753x753/1,0/-/preview/-/resize/400/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Hockey without Borders in the Balkans,"Laval, Québec, Canada","$500
Raised",Raised,"100%
Funded",Funded,,,"5
Supporters",Supporters
53,EDWIN ONCHONGA,https://sportfunder.com/https://sportfunder.com/edwinonchonga/28374,"background-image: url(""https://files.makeachamp.com/00479a3a-180b-4a5f-a200-17041c530d39/-/crop/574x323/45,130/-/preview/"");","background-image: url(""https://files.makeachamp.com/a158a37c-7e61-4985-b9fd-6677ad937fdd/-/resize/400/"");",Cross Country Running,https://sportfunder.com/https://sportfunder.com/teams/cross-country-running,Be part of my journey to the podium!,"Nairobi, Nairobi County, Kenya","$1,000
Raised",Raised,"100%
Funded",Funded,,,"1
Supporters",Supporters
54,RACHEL DOYLE,https://sportfunder.com/https://sportfunder.com/racheldoyle/29077,"background-image: url(""//files.makeachamp.com/9544b588-760c-42ee-8fb3-b271352e8ff7/"");","background-image: url(""https://files.makeachamp.com/404d4050-19b7-4c26-b9c7-3df80a6256d3/-/crop/1536x1533/86,110/-/preview/-/resize/400/"");",Lacrosse,https://sportfunder.com/https://sportfunder.com/teams/lacrosse,Be part of my journey to the podium!,"Frisco, Texas, United States","$250
Raised",Raised,"100%
Funded",Funded,,,"5
Supporters",Supporters
55,LYDIA KANELLOPOULOU,https://sportfunder.com/https://sportfunder.com/lydiakanellopoulou/29855,"background-image: url(""https://files.makeachamp.com/b9c5900f-31d2-4537-8229-1cc4a35a2607/-/crop/3855x2892/267,304/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/81b6c35f-6146-487f-868e-fbe9437d649a/-/crop/249x365/32,84/-/preview/-/resize/400/"");",Pole Sport,https://sportfunder.com/https://sportfunder.com/athletes/pole-sport,Be part of my journey to the podium!,Ελλάδα,"€328.25
Raised",Raised,"100%
Funded",Funded,,,"12
Supporters",Supporters
56,DA'SHAAD JOHNSON,https://sportfunder.com/https://sportfunder.com/dashaadjohnson/31579,"background-image: url(""https://lh6.googleusercontent.com/mQ2tGRQZRaHV2whCcGzC5tFXnoN-go-vY8f9g8vHJFJSNnQmq-I3Lf5hQ8ecsIO2UjogriKWoo7tQnhF5q206tiR_tUTYrZhjgkub3_FN2Sgg4lJQkTQaeizXP1T-iuwpecO3KdV"");","background-image: url(""https://files.makeachamp.com/42327276-43af-410e-a551-c5ab95c9fa71/-/resize/750/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Be a part of my travel basketball journey!,"Bedford, Virginia, United States","$120
Raised",Raised,"100%
Funded",Funded,,,"2
Supporters",Supporters
57,MARIAH BRADLEY,https://sportfunder.com/https://sportfunder.com/mariahbradley_/39460,"background-image: url(""https://files.makeachamp.com/d67fa999-344b-4631-a952-3b356f678fb0/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$150
Raised",Raised,"100%
Funded",Funded,,,"1
Supporters",Supporters
58,KAITLYN DUGAN,https://sportfunder.com/https://sportfunder.com/kaitlyndugan_/39465,"background-image: url(""//files.makeachamp.com/9544b588-760c-42ee-8fb3-b271352e8ff7/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$100
Raised",Raised,"100%
Funded",Funded,,,"1
Supporters",Supporters
